BusinessEntityID;PersonType;Title;FirstName;LastName;EmailPromotion
1;EM;NULL;Ken;Sánchez;0
2;EM;NULL;Terri;Duffy;1
3;EM;NULL;Roberto;Tamburello;0
4;EM;NULL;Rob;Walters;0
5;EM;Ms.;Gail;Erickson;0
6;EM;Mr.;Jossef;Goldberg;0
7;EM;NULL;Dylan;Miller;2
8;EM;NULL;Diane;Margheim;0
9;EM;NULL;Gigi;Matthew;0
10;EM;NULL;Michael;Raheem;2
11;EM;NULL;Ovidiu;Cracium;0
12;EM;NULL;Thierry;D'Hers;2
13;EM;Ms.;Janice;Galvin;2
14;EM;NULL;Michael;Sullivan;2
15;EM;NULL;Sharon;Salavaria;2
16;EM;NULL;David;Bradley;1
17;EM;NULL;Kevin;Brown;2
18;EM;NULL;John;Wood;2
19;EM;NULL;Mary;Dempsey;1
20;EM;NULL;Wanida;Benshoof;2
21;EM;NULL;Terry;Eminhizer;2
22;EM;NULL;Sariya;Harnpadoungsataya;0
23;EM;NULL;Mary;Gibson;0
24;EM;Ms.;Jill;Williams;0
25;EM;NULL;James;Hamilton;0
26;EM;NULL;Peter;Krebs;0
27;EM;NULL;Jo;Brown;0
28;EM;NULL;Guy;Gilbert;0
29;EM;NULL;Mark;McArthur;1
30;EM;NULL;Britta;Simon;0
31;EM;NULL;Margie;Shoop;2
32;EM;NULL;Rebecca;Laszlo;1
33;EM;NULL;Annik;Stahl;0
34;EM;NULL;Suchitra;Mohan;2
35;EM;NULL;Brandon;Heidepriem;1
36;EM;NULL;Jose;Lugo;2
37;EM;NULL;Chris;Okelberry;0
38;EM;NULL;Kim;Abercrombie;2
39;EM;NULL;Ed;Dudenhoefer;0
40;EM;NULL;JoLynn;Dobney;1
41;EM;NULL;Bryan;Baker;0
42;EM;NULL;James;Kramer;2
43;EM;NULL;Nancy;Anderson;1
44;EM;NULL;Simon;Rapier;0
45;EM;NULL;Thomas;Michaels;1
46;EM;NULL;Eugene;Kogan;0
47;EM;NULL;Andrew;Hill;1
48;EM;NULL;Ruth;Ellerbrock;0
49;EM;NULL;Barry;Johnson;0
50;EM;NULL;Sidney;Higa;0
51;EM;NULL;Jeffrey;Ford;0
52;EM;NULL;Doris;Hartwig;0
53;EM;NULL;Diane;Glimp;2
54;EM;NULL;Bonnie;Kearney;0
55;EM;NULL;Taylor;Maxwell;0
56;EM;NULL;Denise;Smith;0
57;EM;NULL;Frank;Miller;1
58;EM;NULL;Kendall;Keil;2
59;EM;NULL;Bob;Hohman;0
60;EM;NULL;Pete;Male;2
61;EM;NULL;Diane;Tibbott;0
62;EM;NULL;John;Campbell;1
